VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2016-03-01 00:00:03,2016-03-01 00:08:34,1,1.59,-73.982269287109375,40.770618438720703,1,N,-73.968742370605469,40.755039215087891,1,8,0.5,0.5,1.86,0,0.3,11.16
2,2016-03-01 00:00:03,2016-03-01 00:32:45,3,16.81,-73.792388916015625,40.645030975341797,2,N,-73.986289978027344,40.758518218994141,1,52,0,0.5,8,5.54,0.3,66.34
1,2016-03-01 00:00:04,2016-03-01 00:03:30,2,.50,-73.983787536621094,40.731891632080078,1,N,-73.975814819335938,40.728519439697266,1,4.5,0.5,0.5,1.15,0,0.3,6.95
1,2016-03-01 00:00:04,2016-03-01 00:06:11,1,.60,-73.999412536621094,40.738563537597656,1,N,-74.002456665039063,40.745326995849609,2,5.5,0.5,0.5,0,0,0.3,6.8
1,2016-03-01 00:00:04,2016-03-01 00:19:39,1,9.90,-73.865859985351563,40.77117919921875,1,N,-73.923843383789063,40.698432922363281,2,28.5,0.5,0.5,0,0,0.3,29.8
2,2016-03-01 00:00:04,2016-03-01 00:02:24,2,.80,-73.966423034667969,40.761650085449219,1,N,-73.959022521972656,40.768180847167969,1,4.5,0.5,0.5,1.16,0,0.3,6.96
2,2016-03-01 00:00:05,2016-03-01 00:02:50,2,.49,-73.9898681640625,40.757118225097656,1,N,-73.985389709472656,40.763191223144531,2,4,0.5,0.5,0,0,0.3,5.3
2,2016-03-01 00:00:05,2016-03-01 00:14:55,1,5.31,-73.98406982421875,40.742900848388672,1,N,-73.942710876464844,40.714729309082031,1,17,0.5,0.5,4.58,0,0.3,22.88
1,2016-03-01 00:00:06,2016-03-01 00:12:11,1,3.50,-74.000419616699219,40.727462768554688,1,N,-73.947738647460938,40.709873199462891,2,13,0.5,0.5,0,0,0.3,14.3
2,2016-03-01 00:00:06,2016-03-01 00:31:11,2,9.14,-73.990806579589844,40.757652282714844,1,N,-73.881484985351563,40.738883972167969,1,31,0.5,0.5,6.46,0,0.3,38.76
2,2016-03-01 00:00:06,2016-03-01 00:07:08,5,2.17,-73.975486755371094,40.787033081054687,1,N,-73.952957153320313,40.807643890380859,1,8.5,0.5,0.5,1.96,0,0.3,11.76
2,2016-03-01 00:00:07,2016-03-01 00:36:51,1,18.03,-73.789413452148437,40.647018432617188,2,N,-74.000991821289063,40.726940155029297,1,52,0,0.5,13.2,0,0.3,66
1,2016-03-01 00:00:08,2016-03-01 00:03:22,1,1.00,-73.981124877929688,40.737300872802734,1,N,-73.988014221191406,40.725601196289063,1,5,0.5,0.5,1,0,0.3,7.3
2,2016-03-01 00:00:08,2016-03-01 00:26:18,1,11.53,-73.992301940917969,40.749713897705078,1,N,-74.030715942382812,40.618621826171875,2,33.5,0.5,0.5,0,0,0.3,34.8
2,2016-03-01 00:00:08,2016-03-01 00:16:31,4,4.26,-74.007942199707031,40.706268310546875,1,N,-73.9564208984375,40.718898773193359,2,16,0.5,0.5,0,0,0.3,17.3
2,2016-03-01 00:00:09,2016-03-01 00:10:09,2,2.66,-73.954658508300781,40.768909454345703,1,N,-73.976112365722656,40.744949340820313,1,11,0.5,0.5,2.46,0,0.3,14.76
1,2016-03-01 00:00:10,2016-03-01 00:10:01,1,1.70,-73.965614318847656,40.790332794189453,1,N,-73.947990417480469,40.774517059326172,1,9,0.5,0.5,2.05,0,0.3,12.35
1,2016-03-01 00:00:10,2016-03-01 00:11:04,1,2.40,-73.987289428710938,40.755691528320313,1,N,-73.960845947265625,40.769500732421875,1,10.5,0.5,0.5,2.35,0,0.3,14.15
1,2016-03-01 00:00:10,2016-03-01 00:04:38,1,1.00,-73.981834411621094,40.756263732910156,1,N,-73.987060546875,40.748668670654297,2,5.5,0.5,0.5,0,0,0.3,6.8
1,2016-03-01 00:00:11,2016-03-01 00:13:49,2,3.70,-73.951225280761719,40.782772064208984,1,N,-73.98895263671875,40.748260498046875,1,13.5,0.5,0.5,2.95,0,0.3,17.75
1,2016-03-01 00:00:12,2016-03-01 00:08:41,1,1.30,-73.983009338378906,40.756183624267578,1,N,-73.965858459472656,40.754238128662109,1,7.5,0.5,0.5,0,0,0.3,8.8
1,2016-03-01 00:00:12,2016-03-01 00:29:57,1,9.20,-73.988624572753906,40.721683502197266,1,N,-73.938514709472656,40.817020416259766,1,31,0.5,0.5,8.05,0,0.3,40.35
2,2016-03-01 00:00:13,2016-03-01 00:04:56,5,.79,-73.991790771484375,40.749187469482422,1,N,-73.989509582519531,40.757778167724609,1,5.5,0.5,0.5,1.36,0,0.3,8.16
2,2016-03-01 00:00:13,2016-03-01 00:02:42,1,.95,-73.995918273925781,40.738670349121094,1,N,-73.992034912109375,40.749496459960938,2,4.5,0.5,0.5,0,0,0.3,5.8
1,2016-03-01 00:00:14,2016-03-01 00:21:58,1,6.90,-73.954185485839844,40.764141082763672,1,N,-73.902435302734375,40.826969146728516,2,22.5,0.5,0.5,0,0,0.3,23.8
2,2016-03-01 00:00:14,2016-03-01 00:16:37,1,4.26,-73.961700439453125,40.654949188232422,1,N,-73.936126708984375,40.697719573974609,1,15.5,0.5,0.5,2,0,0.3,18.8
2,2016-03-01 00:00:14,2016-03-01 00:11:14,1,3.11,-73.989021301269531,40.718906402587891,1,N,-73.946708679199219,40.695648193359375,2,12,0.5,0.5,0,0,0.3,13.3
1,2016-03-01 00:00:15,2016-03-01 00:09:52,1,3.80,-73.97113037109375,40.75152587890625,1,N,-73.988739013671875,40.712821960449219,1,13,0.5,0.5,2.85,0,0.3,17.15
1,2016-03-01 00:00:16,2016-03-01 00:11:59,1,2.80,-73.981971740722656,40.761695861816406,1,N,-73.974922180175781,40.793174743652344,2,11,0.5,0.5,0,0,0.3,12.3
2,2016-03-01 00:00:16,2016-03-01 00:03:56,1,1.21,-73.969039916992188,40.790981292724609,1,N,-73.962089538574219,40.805351257324219,1,5.5,0.5,0.5,1,0,0.3,7.8
2,2016-03-01 00:00:16,2016-03-01 00:04:38,1,1.31,-73.998428344726563,40.740581512451172,1,N,-73.994590759277344,40.754989624023437,1,6,0.5,0.5,1.46,0,0.3,8.76
1,2016-03-01 00:00:17,2016-03-01 00:12:02,1,2.70,-74.005783081054688,40.740409851074219,1,N,-73.981971740722656,40.764007568359375,1,11,0.5,0.5,2.45,0,0.3,14.75
2,2016-03-01 00:00:17,2016-03-01 00:25:34,1,5.39,-73.987136840820313,40.720516204833984,1,N,-73.969497680664063,40.761104583740234,1,20.5,0.5,0.5,4.36,0,0.3,26.16
2,2016-03-01 00:00:17,2016-03-01 00:13:03,1,2.82,-73.978790283203125,40.762466430664063,1,N,-73.989105224609375,40.730716705322266,1,11.5,0.5,0.5,3.2,0,0.3,16
2,2016-03-01 00:00:18,2016-03-01 00:09:52,1,2.07,-73.982505798339844,40.757244110107422,1,N,-73.985702514648437,40.778064727783203,1,9.5,0.5,0.5,1.7,0,0.3,12.5
1,2016-03-01 00:00:19,2016-03-01 00:18:02,1,7.70,-74.012901306152344,40.708072662353516,1,N,-73.961265563964844,40.649982452392578,1,23.5,0.5,0.5,1,0,0.3,25.8
1,2016-03-01 00:00:19,2016-03-01 00:18:07,1,5.10,-73.969039916992188,40.7908935546875,1,N,-73.989540100097656,40.734481811523438,2,17.5,0.5,0.5,0,0,0.3,18.8
2,2016-03-01 00:00:19,2016-03-01 00:14:16,3,3.34,-73.982223510742188,40.758609771728516,1,N,-73.939552307128906,40.751731872558594,1,13,0.5,0.5,1,0,0.3,15.3
2,2016-03-01 00:00:19,2016-03-01 00:05:33,2,2.69,-74.002899169921875,40.749309539794922,1,N,-73.978469848632812,40.783138275146484,2,9,0.5,0.5,0,0,0.3,10.3
2,2016-03-01 00:00:19,2016-03-01 00:04:07,1,.71,-73.985908508300781,40.757598876953125,1,N,-73.992568969726563,40.753471374511719,2,4.5,0.5,0.5,0,0,0.3,5.8
2,2016-03-01 00:00:19,2016-03-01 00:08:24,1,1.42,-73.992401123046875,40.758998870849609,1,N,-73.977081298828125,40.747108459472656,1,7.5,0.5,0.5,2.2,0,0.3,11
2,2016-03-01 00:00:20,2016-03-01 00:14:37,5,4.28,-73.983901977539062,40.7681884765625,1,N,-74.011253356933594,40.713478088378906,1,15,0.5,0.5,4.89,0,0.3,21.19
2,2016-03-01 00:00:20,2016-03-01 00:11:56,1,1.84,-73.997749328613281,40.756599426269531,1,N,-74.004707336425781,40.734531402587891,1,8.5,0.5,0.5,2.45,0,0.3,12.25
2,2016-03-01 00:00:20,2016-03-01 00:18:00,6,3.95,-73.986541748046875,40.766788482666016,1,N,-73.977821350097656,40.726028442382813,1,15,0.5,0.5,3.26,0,0.3,19.56
2,2016-03-01 00:00:20,2016-03-01 00:14:56,3,3.65,-73.987045288085938,40.755615234375,1,N,-73.946456909179688,40.776863098144531,1,14,0.5,0.5,3,0,0.3,18.3
